INDUSTRY_NAME,franchise_name,city,space,investment,no_of_outlets
"Agents, Dealers & Distributors",AV Software Solution,"Chennai, India",Less than 250 Sq.ft,Rs. No Investment,No Franchisee
"Agents, Dealers & Distributors",Vantra,"Bhopal, India",500 - 750 Sq.ft,Rs. 20lakhs-30lakhs,No Franchisee
"Agents, Dealers & Distributors",KOJA,"Delhi, India",500 - 750 Sq.ft,Rs. 20lakhs-30lakhs,10 - 20
"Agents, Dealers & Distributors",FieldTurf Tarkett India (Great Sports Infra.,"Hyderabad, India",Less than 250 Sq.ft,Rs. 5lakhs-10lakhs,No Franchisee
"Agents, Dealers & Distributors",Spicely Natural,"Lucknow, India",Less than 250 Sq.ft,Rs. No Investment,No Franchisee
"Agents, Dealers & Distributors",Tuk Tuk,"Dhanbad, India",Less than 250 Sq.ft,Rs. 1Lakh - 2Lakh,20 - 40
"Agents, Dealers & Distributors","Ads Ocean, 7Oceans, HR Oceans","Ludhiana, India",Less than 250 Sq.ft,Rs. 10Lakhs - 15Lakhs,No Franchisee
"Agents, Dealers & Distributors",Nexpo,"Faizabad, India",Less than 250 Sq.ft,Rs. 1Lakh - 2Lakh,Less than 10
"Agents, Dealers & Distributors",Sscsm,"Nadia, India",Less than 250 Sq.ft,Rs. 1 - 50000,Less than 10
"Agents, Dealers & Distributors",Mirah Belle Naturals,"Gurgaon, India",250 - 500 Sq.ft,Rs. 50000 - 1Lakh,No Franchisee
"Agents, Dealers & Distributors",Pro Natura,"Dhanbad, India",Less than 250 Sq.ft,Rs. 1Lakh - 2Lakh,Less than 10
"Agents, Dealers & Distributors",Kent Mineral RO,"Noida, India",250 - 500 Sq.ft,Rs. 15Lakhs - 20Lakhs,No Franchisee
"Agents, Dealers & Distributors",Mac Instruments,"Delhi, India",Less than 250 Sq.ft,Rs. 1 - 50000,No Franchisee
"Agents, Dealers & Distributors",SUN CITY,"Thrissur, India",500 - 750 Sq.ft,Rs. 5lakhs-10lakhs,Less than 10
"Agents, Dealers & Distributors",Venture LED,"Chennai, India",250 - 500 Sq.ft,Rs. 1 - 50000,80 - 160
"Agents, Dealers & Distributors",Sags Gems,"Rajkot, India",250 - 500 Sq.ft,Rs. 2lakhs -5 lakhs,40 - 80
"Agents, Dealers & Distributors",S&amp;A Publications,"Thane, India",Less than 250 Sq.ft,Rs. 50000 - 1Lakh,No Franchisee
"Agents, Dealers & Distributors",QTH,"Salem, India",250 - 500 Sq.ft,Rs. 1 - 50000,No Franchisee
"Agents, Dealers & Distributors",Bione,"Bengaluru, India",Less than 250 Sq.ft,Rs. 10Lakhs - 15Lakhs,No Franchisee
"Agents, Dealers & Distributors",Kryp Media,"Mumbai, India",250 - 500 Sq.ft,Rs. 1Lakh - 2Lakh,Less than 10
"Agents, Dealers & Distributors",RIVERINE ENTERPEISES,"Jaipur, India",250 - 500 Sq.ft,Rs. 40Lakhs- 50Lakhs,Less than 10
"Agents, Dealers & Distributors",Sangeetha Mobiles,"Bengaluru, India",Less than 250 Sq.ft,Rs. 50000 - 1Lakh,No Franchisee
"Agents, Dealers & Distributors",KTS Business Solutions Pvt Ltd,"Ranga Reddy district, India",Greater than 5000 Sq.ft,Rs. Above 10Crore,No Franchisee
"Agents, Dealers & Distributors",Bikewo,"Hyderabad, India",750 - 1000 Sq.ft,Rs. 15Lakhs - 20Lakhs,40 - 80
"Agents, Dealers & Distributors",Solar Energy Solutions,"Hyderabad, India",Less than 250 Sq.ft,Rs. 5lakhs-10lakhs,Less than 10
"Agents, Dealers & Distributors","Bake Top, Kampp","Gurgaon, India",250 - 500 Sq.ft,Rs. 2lakhs -5 lakhs,10 - 20
"Agents, Dealers & Distributors",Tree Dot,"Wayanad, India",Less than 250 Sq.ft,Rs. 1Lakh - 2Lakh,20 - 40
"Agents, Dealers & Distributors",Amaron,"Mohali, India",750 - 1000 Sq.ft,Rs. 5lakhs-10lakhs,No Franchisee
"Agents, Dealers & Distributors",DCGPAC,"Gurgaon, India",500 - 750 Sq.ft,Rs. 50000 - 1Lakh,No Franchisee
"Agents, Dealers & Distributors",Makeup Biography,"Bengaluru, India",1000 - 2000 Sq.ft,Rs. 50Lakhs - 75Lakhs,Less than 10
"Agents, Dealers & Distributors",VAS TRIBOLOGY,"Jamshedpur, India",Less than 250 Sq.ft,Rs. 5lakhs-10lakhs,Less than 10
"Agents, Dealers & Distributors",RAFIK KASAM DARVESH,"Jamnagar, India",250 - 500 Sq.ft,Rs. 2lakhs -5 lakhs,No Franchisee
"Agents, Dealers & Distributors",Haptic Unicor,"Delhi, India",Less than 250 Sq.ft,Rs. 1 - 50000,Less than 10
"Agents, Dealers & Distributors",Keding Enterprises Co Ltd,"Vite, India",Not Revealed Sq.ft,Rs. 20lakhs-30lakhs,20 - 40
"Agents, Dealers & Distributors",Kanwa Mansion,"Bengaluru, India",250 - 500 Sq.ft,Rs. 5lakhs-10lakhs,No Franchisee
"Agents, Dealers & Distributors",VOLTAS,"Bengaluru, India",250 - 500 Sq.ft,Rs. 50000 - 1Lakh,Less than 10
"Agents, Dealers & Distributors",Multi Digit,"Mysuru, India",Less than 250 Sq.ft,Rs. 1 - 50000,Less than 10
"Agents, Dealers & Distributors",Puncture Lock,"Ghaziabad, India",Less than 250 Sq.ft,Rs. 50000 - 1Lakh,80 - 160
"Agents, Dealers & Distributors",Pax,"Mumbai, India",1000 - 2000 Sq.ft,Rs. 5lakhs-10lakhs,Less than 10
"Agents, Dealers & Distributors",Uhlalaa,"Mumbai, India",Less than 250 Sq.ft,Rs. 50000 - 1Lakh,No Franchisee
"Agents, Dealers & Distributors",Rock Tawa,"Coimbatore, India",Less than 250 Sq.ft,Rs. 2lakhs -5 lakhs,Less than 10
"Agents, Dealers & Distributors",Shri Dayoday Urja Evam Jaivik Khaad Pvt Ltd,"Bhopal, India",Less than 250 Sq.ft,Rs. 2lakhs -5 lakhs,10 - 20
"Agents, Dealers & Distributors",ROOPHKA MILK,"Chennai, India",Less than 250 Sq.ft,Rs. 1Lakh - 2Lakh,Less than 10
"Agents, Dealers & Distributors",Sunkind Energy,"Gurgaon, India",Less than 250 Sq.ft,Rs. 5lakhs-10lakhs,Less than 10
"Agents, Dealers & Distributors",Konyak Tea,"Delhi, India",Less than 250 Sq.ft,Rs. 2lakhs -5 lakhs,No Franchisee
"Agents, Dealers & Distributors",Lucillus,"Delhi, India",250 - 500 Sq.ft,Rs. 5lakhs-10lakhs,10 - 20
"Agents, Dealers & Distributors",Essar Solar,"Mysuru, India",Less than 250 Sq.ft,Rs. 2lakhs -5 lakhs,300 - 500
"Agents, Dealers & Distributors",DehaatStore,"Noida, India",Less than 250 Sq.ft,Rs. 1 - 50000,20 - 40
"Agents, Dealers & Distributors",HAGAR,"Delhi, India",500 - 750 Sq.ft,Rs. 1Lakh - 2Lakh,40 - 80
"Agents, Dealers & Distributors",Siyaram Lubricants,"Kolkata, India",Less than 250 Sq.ft,Rs. 50000 - 1Lakh,No Franchisee
"Agents, Dealers & Distributors",Vazron,"Raigarh, India",250 - 500 Sq.ft,Rs. 20lakhs-30lakhs,No Franchisee
"Agents, Dealers & Distributors",DrRajan Laboratories,"Tambaram, India",250 - 500 Sq.ft,Rs. 10Lakhs - 15Lakhs,Less than 10
"Agents, Dealers & Distributors",Khushboo Ice Cream,"Rajkot, India",500 - 750 Sq.ft,Rs. 5lakhs-10lakhs,80 - 160
"Agents, Dealers & Distributors",I2Cure,"Gurgaon, India",Less than 250 Sq.ft,Rs. 5lakhs-10lakhs,Less than 10
"Agents, Dealers & Distributors",ITC,"Mannarakkat, India",Less than 250 Sq.ft,Rs. No Investment,No Franchisee
"Agents, Dealers & Distributors",RATIRA,"Dehradun, India",250 - 500 Sq.ft,Rs. No Investment,Less than 10
"Agents, Dealers & Distributors",Nattus Nuts,"Indore, India",Less than 250 Sq.ft,Rs. 1 - 50000,Less than 10
"Agents, Dealers & Distributors",Sicurezza,"Agra, India",Less than 250 Sq.ft,Rs. 5lakhs-10lakhs,Less than 10
"Agents, Dealers & Distributors",Milenum E Mega Mart,"Bhubaneswar, India",Less than 250 Sq.ft,Rs. 50000 - 1Lakh,Less than 10
"Agents, Dealers & Distributors",Kayakalp Soap,"Madurai, India",250 - 500 Sq.ft,Rs. 15Lakhs - 20Lakhs,10 - 20
"Agents, Dealers & Distributors",Any Brand,"Cuddapah, India",Less than 250 Sq.ft,Rs. 50000 - 1Lakh,No Franchisee
"Agents, Dealers & Distributors",Fastocart,"Aligarh, India",750 - 1000 Sq.ft,Rs. 20lakhs-30lakhs,Less than 10
"Agents, Dealers & Distributors",Juz Crush,"Bengaluru, India",1000 - 2000 Sq.ft,Rs. 2lakhs -5 lakhs,20 - 40
"Agents, Dealers & Distributors",Sarah AquaSoft,"Delhi, India",1000 - 2000 Sq.ft,Rs. 10Lakhs - 15Lakhs,Less than 10
"Agents, Dealers & Distributors",Cruzz,"Delhi, India",500 - 750 Sq.ft,Rs. 2lakhs -5 lakhs,10 - 20
"Agents, Dealers & Distributors",Door Handles  Locks,"Chennai, India",Not Revealed Sq.ft,Not Revealed,No Franchisee
"Agents, Dealers & Distributors",Hydro Nutrysh Farming,"Rajkot, India",1000 - 2000 Sq.ft,Rs. 1Lakh - 2Lakh,No Franchisee
"Agents, Dealers & Distributors",Birla Tea Mart,"Kolkata, India",250 - 500 Sq.ft,Rs. 15Lakhs - 20Lakhs,Less than 10
"Agents, Dealers & Distributors",Aarav Fashion Industries,"Ludhiana, India",250 - 500 Sq.ft,Rs. 50000 - 1Lakh,No Franchisee
"Agents, Dealers & Distributors",Life Care Group,"Indore, India",3000 - 5000 Sq.ft,Rs. No Investment,Less than 10
"Agents, Dealers & Distributors",Fastrack ltd,"Satara, India",250 - 500 Sq.ft,Rs. 50000 - 1Lakh,No Franchisee
"Agents, Dealers & Distributors",Parmo,"Rajkot, India",Less than 250 Sq.ft,Rs. 1Lakh - 2Lakh,No Franchisee
"Agents, Dealers & Distributors",Dreamy Metals Handicrafts,"Moradabad, India",250 - 500 Sq.ft,Rs. 5lakhs-10lakhs,No Franchisee
"Agents, Dealers & Distributors",SmartNode,"Vadodara, India",Less than 250 Sq.ft,Rs. 15Lakhs - 20Lakhs,Less than 10
"Agents, Dealers & Distributors",Seva Agency,"Shrirampur, India",Less than 250 Sq.ft,Rs. No Investment,Less than 10
"Agents, Dealers & Distributors",HiTec Mart,"Bengaluru, India",500 - 750 Sq.ft,Rs. 15Lakhs - 20Lakhs,Less than 10
"Agents, Dealers & Distributors",Pentagon Chemicals,"Chennai, India",Less than 250 Sq.ft,Rs. 50000 - 1Lakh,No Franchisee
"Agents, Dealers & Distributors",Wateriia,"Bengaluru, India",1000 - 2000 Sq.ft,Rs. 2lakhs -5 lakhs,Less than 10
"Agents, Dealers & Distributors",Droneer Series,"Bengaluru, India",Less than 250 Sq.ft,Rs. 5lakhs-10lakhs,10 - 20
"Agents, Dealers & Distributors",Godfrey Phillips India Ltd,"Delhi, India",500 - 750 Sq.ft,Rs. 2lakhs -5 lakhs,Less than 10
"Agents, Dealers & Distributors",SHUBHASHISH AATA,"Harda, India",1000 - 2000 Sq.ft,Rs. 2lakhs -5 lakhs,10 - 20
"Agents, Dealers & Distributors",Growel,"Bengaluru, India",Less than 250 Sq.ft,Rs. No Investment,No Franchisee
"Agents, Dealers & Distributors",BigBeans,"Kolkata, India",Less than 250 Sq.ft,Rs. 1Lakh - 2Lakh,Less than 10
"Agents, Dealers & Distributors",Peanos,"Vadodara, India",Greater than 5000 Sq.ft,Rs. 75Lakhs - 1Crore,No Franchisee
"Agents, Dealers & Distributors",Koochie,"Bengaluru, India",750 - 1000 Sq.ft,Rs. 40Lakhs- 50Lakhs,No Franchisee
"Agents, Dealers & Distributors",AGRITIME,"Gurgaon, India",Less than 250 Sq.ft,Rs. 2lakhs -5 lakhs,No Franchisee
"Agents, Dealers & Distributors",UPBITE,"Faridabad, India",Less than 250 Sq.ft,Rs. 1Lakh - 2Lakh,No Franchisee
"Agents, Dealers & Distributors",CPS SuperMarket,"Chennai, India",,,
"Agents, Dealers & Distributors",Lone Traders,"Gandarbat, India",1000 - 2000 Sq.ft,Rs. 1Lakh - 2Lakh,Less than 10
"Agents, Dealers & Distributors",Wavex Auto Care,"Jalandhar, India",250 - 500 Sq.ft,Rs. 10Lakhs - 15Lakhs,No Franchisee
"Agents, Dealers & Distributors","SolarMaxx, SolarCraft, LEDvantage","Jaipur, India",750 - 1000 Sq.ft,Rs. 2lakhs -5 lakhs,No Franchisee
"Agents, Dealers & Distributors",KrishiPay,"Bengaluru, India",250 - 500 Sq.ft,Rs. 50000 - 1Lakh,10 - 20
"Agents, Dealers & Distributors",SUNCUE,"Nagpur, India",Less than 250 Sq.ft,Rs. No Investment,10 - 20
"Agents, Dealers & Distributors",Schneider Electric Wiser,"Bengaluru, India",500 - 750 Sq.ft,Rs. 20lakhs-30lakhs,No Franchisee
"Agents, Dealers & Distributors",Sleek Kitchen,"Mangalore, India",750 - 1000 Sq.ft,Rs. 10Lakhs - 15Lakhs,300 - 500
"Agents, Dealers & Distributors",Campfire,"Bengaluru, India",250 - 500 Sq.ft,Rs. 5lakhs-10lakhs,Less than 10
"Agents, Dealers & Distributors",Big Shopee Hub,"Delhi, India",Less than 250 Sq.ft,Rs. 1 - 50000,40 - 80
"Agents, Dealers & Distributors",Unimech Enterprises (India) Private Limited,"Coimbatore, India",500 - 750 Sq.ft,Rs. 2lakhs -5 lakhs,No Franchisee
"Agents, Dealers & Distributors",FOCUS POS,"Hyderabad, India",Less than 250 Sq.ft,Rs. No Investment,Less than 10
"Agents, Dealers & Distributors",Sprint Lubricants,"Gorakhpur, India",500 - 750 Sq.ft,Rs. 50000 - 1Lakh,Less than 10
"Agents, Dealers & Distributors",Shresta Enterprises,"Hyderabad, India",1000 - 2000 Sq.ft,Rs. 2lakhs -5 lakhs,No Franchisee
"Agents, Dealers & Distributors",Fsquare Foods and Spices,"Dombivli, India",Less than 250 Sq.ft,Rs. 1 - 50000,No Franchisee
"Agents, Dealers & Distributors",SR Environ Pvt. Ltd.,"Chennai, India",750 - 1000 Sq.ft,Rs. 10Lakhs - 15Lakhs,No Franchisee
"Agents, Dealers & Distributors",Casero,"Kozhikode, India",250 - 500 Sq.ft,Rs. 5lakhs-10lakhs,Less than 10
"Agents, Dealers & Distributors",LipSmac Foods,"Kasaragod, India",250 - 500 Sq.ft,Rs. 1Lakh - 2Lakh,Less than 10
"Agents, Dealers & Distributors",Single SIM Mobile Recharge Business,"Palakkad, India",Less than 250 Sq.ft,Rs. 50000 - 1Lakh,No Franchisee
"Agents, Dealers & Distributors",Premier Tissues,"Bengaluru, India",1000 - 2000 Sq.ft,Rs. 50000 - 1Lakh,No Franchisee
"Agents, Dealers & Distributors",Curio Casa,"Bengaluru, India",3000 - 5000 Sq.ft,Rs. 50Lakhs - 75Lakhs,Less than 10
"Agents, Dealers & Distributors",Globalin Home Security System,"Hubballi-Dharwad, India",250 - 500 Sq.ft,Rs. 1 - 50000,No Franchisee
"Agents, Dealers & Distributors",Fixon Lifecare,"Mumbai, India",250 - 500 Sq.ft,Rs. 5lakhs-10lakhs,Less than 10
"Agents, Dealers & Distributors",Brass Gift Center,"Moradabad, India",Less than 250 Sq.ft,Rs. 1 - 50000,No Franchisee
"Agents, Dealers & Distributors",Rajani Power,"Delhi, India",Less than 250 Sq.ft,Rs. 1Lakh - 2Lakh,No Franchisee
"Agents, Dealers & Distributors",Service Avenue,"Chennai, India",500 - 750 Sq.ft,Rs. 2lakhs -5 lakhs,Less than 10
"Agents, Dealers & Distributors",RK Mediatech Private Limited,"Delhi, India",Less than 250 Sq.ft,Rs. 2lakhs -5 lakhs,No Franchisee
"Agents, Dealers & Distributors",Erets Agro Pvt Ltd,"Belgaum, India",250 - 500 Sq.ft,Rs. 50Lakhs - 75Lakhs,10 - 20
"Agents, Dealers & Distributors",My Furnish Store,"Badami, India",1000 - 2000 Sq.ft,Rs. 15Lakhs - 20Lakhs,20 - 40
"Agents, Dealers & Distributors",Komfort Hygine,"Kottayam, India",Less than 250 Sq.ft,Rs. 50000 - 1Lakh,No Franchisee
"Agents, Dealers & Distributors",ZEDEKS,"Delhi, India",Less than 250 Sq.ft,Rs. 5lakhs-10lakhs,Less than 10
"Agents, Dealers & Distributors",Tusker,"Bengaluru, India",750 - 1000 Sq.ft,Rs. 30lakhs-40lakhs,Less than 10
"Agents, Dealers & Distributors",GRH Chairs,"Delhi, India",250 - 500 Sq.ft,Rs. 1Lakh - 2Lakh,No Franchisee
"Agents, Dealers & Distributors",TIMES,"Warangal, India",Less than 250 Sq.ft,Rs. 1 - 50000,10 - 20
"Agents, Dealers & Distributors",Miyunica,"Chennai, India",250 - 500 Sq.ft,Rs. 1 - 50000,Less than 10
"Agents, Dealers & Distributors",Angel Broking,"Mumbai, India",500 - 750 Sq.ft,Rs. 20lakhs-30lakhs,No Franchisee
"Agents, Dealers & Distributors",Gagan Electronics,"Alwar, India",750 - 1000 Sq.ft,Rs. 30lakhs-40lakhs,No Franchisee
"Agents, Dealers & Distributors",Aardee Specials,"Delhi, India",Less than 250 Sq.ft,Rs. 5lakhs-10lakhs,No Franchisee
"Agents, Dealers & Distributors",Premend Services,"Vadodara, India",Less than 250 Sq.ft,Rs. No Investment,No Franchisee
"Agents, Dealers & Distributors",Farmax,"Ghaziabad, India",250 - 500 Sq.ft,Rs. 50000 - 1Lakh,Less than 10
"Agents, Dealers & Distributors",Gaurs,", India",500 - 750 Sq.ft,Rs. 50Lakhs - 75Lakhs,No Franchisee
"Agents, Dealers & Distributors",Germ Shield,"Jaipur, India",250 - 500 Sq.ft,Rs. 5lakhs-10lakhs,No Franchisee
"Agents, Dealers & Distributors",Mayur Masala Industries,"Ambala, India",Less than 250 Sq.ft,Rs. No Investment,No Franchisee
"Agents, Dealers & Distributors",Leads,"Kolkata, India",500 - 750 Sq.ft,Rs. 2lakhs -5 lakhs,40 - 80
"Agents, Dealers & Distributors",Soiltech,"Faridabad, India",250 - 500 Sq.ft,Rs. 15Lakhs - 20Lakhs,80 - 160
"Agents, Dealers & Distributors",Sujana Impex,"Ahmednagar, India",250 - 500 Sq.ft,Rs. 5lakhs-10lakhs,No Franchisee
"Agents, Dealers & Distributors",TRP KING,"Delhi, India",Less than 250 Sq.ft,Rs. 1Lakh - 2Lakh,Less than 10
"Agents, Dealers & Distributors",Shriniwas Industries,"Pune, India",1000 - 2000 Sq.ft,Rs. 10Lakhs - 15Lakhs,No Franchisee
"Agents, Dealers & Distributors",VRAT Agro,"Indore, India",Less than 250 Sq.ft,Rs. 50000 - 1Lakh,10 - 20
"Agents, Dealers & Distributors",ML Mark Plus,"Ranchi, India",500 - 750 Sq.ft,Rs. 30lakhs-40lakhs,No Franchisee
"Agents, Dealers & Distributors",Buybackmart,"Pune, India",Less than 250 Sq.ft,Rs. 5lakhs-10lakhs,No Franchisee
"Agents, Dealers & Distributors",Tasgra,"Surat, India",250 - 500 Sq.ft,Rs. 2lakhs -5 lakhs,Less than 10
"Agents, Dealers & Distributors",Vinayak Ingredients (India) Private Limited,"Mumbai, India",Less than 250 Sq.ft,Rs. 20lakhs-30lakhs,No Franchisee
"Agents, Dealers & Distributors",MEDICIN PHARMACY SOFTWARE,"Mumbai, India",Less than 250 Sq.ft,Rs. 1 - 50000,10 - 20
"Agents, Dealers & Distributors",LV Snacks Pro,"Secunderabad, India",Less than 250 Sq.ft,Rs. 1 - 50000,Less than 10
"Agents, Dealers & Distributors",Happy Nappi Sanitary Napkins,"Mumbai, India",250 - 500 Sq.ft,Rs. 5lakhs-10lakhs,No Franchisee
"Agents, Dealers & Distributors",BIPEL,"Vadodara, India",Less than 250 Sq.ft,Rs. 50000 - 1Lakh,No Franchisee
"Agents, Dealers & Distributors",Paytronic Network Pvt Ltd,"Mumbai, India",Less than 250 Sq.ft,Rs. 1 - 50000,No Franchisee
"Agents, Dealers & Distributors",Cromatica,"Bengaluru, India",750 - 1000 Sq.ft,Rs. 1Lakh - 2Lakh,10 - 20
"Agents, Dealers & Distributors",Zest,"Delhi, India",Less than 250 Sq.ft,Rs. 2lakhs -5 lakhs,Less than 10
"Agents, Dealers & Distributors",Scrutiny Securities Pvt Ltd,"Mumbai, India",250 - 500 Sq.ft,Rs. 1Lakh - 2Lakh,No Franchisee
"Agents, Dealers & Distributors",PPN Network India Pvt Ltd,"Jaipur, India",Less than 250 Sq.ft,Rs. 2lakhs -5 lakhs,10 - 20
"Agents, Dealers & Distributors",R.R.Trading Company,"Mumbai, India",Less than 250 Sq.ft,Rs. 1 - 50000,No Franchisee
"Agents, Dealers & Distributors",Jd Shopping Network,"Indore, India",Less than 250 Sq.ft,Rs. 50000 - 1Lakh,80 - 160
"Agents, Dealers & Distributors",ARAIPL,"Sangli, India",Greater than 5000 Sq.ft,Rs. 1crore-2crore,80 - 160
"Agents, Dealers & Distributors",VEDAA,"Noida, India",1000 - 2000 Sq.ft,Rs. 75Lakhs - 1Crore,Less than 10
"Agents, Dealers & Distributors",Haptic,"Delhi, India",Less than 250 Sq.ft,Rs. 1 - 50000,Less than 10
"Agents, Dealers & Distributors",Drasis Technologies,"Chennai, India",1000 - 2000 Sq.ft,Rs. 30lakhs-40lakhs,No Franchisee
"Agents, Dealers & Distributors",Vidiemin,"Chennai, India",Less than 250 Sq.ft,Rs. 5lakhs-10lakhs,20 - 40
"Agents, Dealers & Distributors",TrackiBo,"Hyderabad, India",Less than 250 Sq.ft,Rs. 2lakhs -5 lakhs,No Franchisee
"Agents, Dealers & Distributors",Wall Decals,"Hyderabad, India",Less than 250 Sq.ft,Rs. 1Lakh - 2Lakh,No Franchisee
"Agents, Dealers & Distributors",Kusum Tradex,"Ludhiana, India",750 - 1000 Sq.ft,Rs. 40Lakhs- 50Lakhs,Less than 10
"Agents, Dealers & Distributors",Ignicop,"Hyderabad, India",Less than 250 Sq.ft,Rs. 2lakhs -5 lakhs,No Franchisee
"Agents, Dealers & Distributors",Winalite International,"Bengaluru, India",Less than 250 Sq.ft,Rs. 2Crore - 5Crore,No Franchisee
"Agents, Dealers & Distributors",PayGyft,"Yelahanka, India",Less than 250 Sq.ft,Rs. 2lakhs -5 lakhs,20 - 40
"Agents, Dealers & Distributors",Absprints,"Chennai, India",1000 - 2000 Sq.ft,Rs. 20lakhs-30lakhs,Less than 10
"Agents, Dealers & Distributors",ktex,"Udhampur, India",Less than 250 Sq.ft,Rs. No Investment,No Franchisee
"Agents, Dealers & Distributors",GD Masala,"Chennai, India",Less than 250 Sq.ft,Rs. 1 - 50000,10 - 20
"Agents, Dealers & Distributors",Darkk,"Ahmedabad, India",750 - 1000 Sq.ft,Rs. 2lakhs -5 lakhs,Less than 10
"Agents, Dealers & Distributors",Protronix Energy Pvt Limited,"Bengaluru, India",Less than 250 Sq.ft,Rs. 1Lakh - 2Lakh,No Franchisee
"Agents, Dealers & Distributors",Latt Liv  Easy Life,"Surat, India",,,
"Agents, Dealers & Distributors",ENGGMECH,"Thane, India",Less than 250 Sq.ft,Rs. 5lakhs-10lakhs,No Franchisee
"Agents, Dealers & Distributors",SUNPRO,"Krishna, India",Less than 250 Sq.ft,Rs. 50000 - 1Lakh,No Franchisee
"Agents, Dealers & Distributors",Trexend Technologies,"Thrissur, India",Less than 250 Sq.ft,Rs. 5lakhs-10lakhs,Less than 10
"Agents, Dealers & Distributors",Centuary Mattresses,"Hyderabad, India",1000 - 2000 Sq.ft,Rs. 40Lakhs- 50Lakhs,Less than 10
"Agents, Dealers & Distributors",CBH,"Ludhiana, India",750 - 1000 Sq.ft,Rs. 30lakhs-40lakhs,Less than 10
"Agents, Dealers & Distributors",Mahaveer Masale,"Mumbai, India",Less than 250 Sq.ft,Rs. 1 - 50000,No Franchisee
"Agents, Dealers & Distributors",Pots And Pans.in,"Delhi, India",500 - 750 Sq.ft,Rs. 10Lakhs - 15Lakhs,Less than 10
"Agents, Dealers & Distributors",Houseguard,"Anand, India",Less than 250 Sq.ft,Rs. 1Lakh - 2Lakh,No Franchisee
"Agents, Dealers & Distributors",UG India,"Noida, India",250 - 500 Sq.ft,Rs. 20lakhs-30lakhs,10 - 20
"Agents, Dealers & Distributors",Longway,"Nashik, India",1000 - 2000 Sq.ft,Rs. 5lakhs-10lakhs,No Franchisee
"Agents, Dealers & Distributors",Shahco Enterprises,"Vadodara, India",Less than 250 Sq.ft,Rs. 1Lakh - 2Lakh,No Franchisee
"Agents, Dealers & Distributors",Hukum Singh,"Dehradun, India",Less than 250 Sq.ft,Rs. 1Lakh - 2Lakh,Less than 10
"Agents, Dealers & Distributors",Punto ESP Device,"Jaipur, India",750 - 1000 Sq.ft,Rs. 5lakhs-10lakhs,Less than 10
"Agents, Dealers & Distributors",Sklight,"Indore, India",1000 - 2000 Sq.ft,Rs. 10Lakhs - 15Lakhs,No Franchisee
"Agents, Dealers & Distributors",Vestige,"Delhi, India",Less than 250 Sq.ft,Rs. No Investment,Greater than 1200
"Agents, Dealers & Distributors",Safe Step Solutions,"Jaipur, India",Less than 250 Sq.ft,Rs. 2lakhs -5 lakhs,No Franchisee
"Agents, Dealers & Distributors",NVU RETAIL,"Mumbai, India",3000 - 5000 Sq.ft,Rs. 75Lakhs - 1Crore,10 - 20
"Agents, Dealers & Distributors",Lifepure Labs Pharma Franchise,"Chandigarh, India",250 - 500 Sq.ft,Rs. 1 - 50000,40 - 80
"Agents, Dealers & Distributors",Beget Industries Pvt Ltd,"Khurda, India",Less than 250 Sq.ft,Rs. 1Lakh - 2Lakh,No Franchisee
"Agents, Dealers & Distributors",Alexa Water Purifier,"Delhi, India",Less than 250 Sq.ft,Rs. 50000 - 1Lakh,10 - 20
"Agents, Dealers & Distributors",Bajarangs,"Hyderabad, India",Less than 250 Sq.ft,Rs. 2lakhs -5 lakhs,No Franchisee
"Agents, Dealers & Distributors",DoPro,"Delhi, India",Less than 250 Sq.ft,Rs. 2lakhs -5 lakhs,20 - 40
"Agents, Dealers & Distributors",CharzZUP,"Chennai, India",250 - 500 Sq.ft,Rs. 10Lakhs - 15Lakhs,No Franchisee
"Agents, Dealers & Distributors",Sensinova,"Vadodara, India",Less than 250 Sq.ft,Rs. 1Lakh - 2Lakh,No Franchisee
"Agents, Dealers & Distributors",Ada Jewels,"Jaipur, India",Less than 250 Sq.ft,Rs. 20lakhs-30lakhs,Less than 10
"Agents, Dealers & Distributors",BPO-TRAC,"Chennai, India",Less than 250 Sq.ft,Rs. 1Lakh - 2Lakh,No Franchisee
"Agents, Dealers & Distributors",WaitLess,"Bengaluru, India",Less than 250 Sq.ft,Rs. 2lakhs -5 lakhs,Less than 10
"Agents, Dealers & Distributors",Herbal Mega Mart,"Indore, India",Less than 250 Sq.ft,Rs. 1 - 50000,40 - 80
"Agents, Dealers & Distributors",Juntuh,"Maholi, India",Less than 250 Sq.ft,Rs. 2lakhs -5 lakhs,Less than 10
"Agents, Dealers & Distributors",FARMISO,"Bengaluru, India",Less than 250 Sq.ft,Rs. No Investment,Greater than 1200
"Agents, Dealers & Distributors",Fitness Live,"Delhi, India",750 - 1000 Sq.ft,Rs. 5lakhs-10lakhs,No Franchisee
"Agents, Dealers & Distributors",Energy Efficient Lights,"Bengaluru, India",Less than 250 Sq.ft,Rs. 1Lakh - 2Lakh,10 - 20
"Agents, Dealers & Distributors",Ration,"Hyderabad, India",Less than 250 Sq.ft,Rs. 20lakhs-30lakhs,Less than 10
"Agents, Dealers & Distributors",Niccau,"Nashik, India",Less than 250 Sq.ft,Rs. 50000 - 1Lakh,Less than 10
"Agents, Dealers & Distributors",MS Safety Doors,"Delhi, India",Less than 250 Sq.ft,Rs. 2lakhs -5 lakhs,10 - 20
